server_id,date,start_time,stop_time,action,timezone,title
win-server-1,2026-08-11,05:25,07:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-11,18:55,21:15,streaming,America/New_York,St. Mary's Revival
mac-server-1,2026-08-12,07:55,11:15,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-12,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-13,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-13,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-14,08:25,10:45,streaming,America/New_York,Divine Liturgy
win-server-1,2026-08-14,18:55,21:15,streaming,America/New_York,St. Mary's Revival
win-server-1,2026-08-15,17:55,21:15,streaming,America/New_York,St. Mary Revival
win-server-1,2026-08-16,07:55,10:45,streaming,America/New_York,Divine Liturgy
mac-server-1,2026-08-16,08:25,10:45,streaming,America/New_York,Divine Liturgy
